관리번호	개인번호	성명	참여역할	신분	소속(단과대)	소속(학과)	저널명	논문제목	출판국	ISBN or ISSN*	게재년도	게재월	권	호	상태값	저널구분	SCI 구분	시작페이지	종료페이지	SCI 인용횟수	SCOPUS 인용횟수	KCI 인용횟수	SCI ID	SCOPUS ID	FWCI	KCI ID	초록	DOI	최초등록일자	최종수정일자	제1저자	전체저자(최대 1000명)	저자수	실적구분	IF(출판년 ed.)	SJR(출판년 ed.)	IF(평균 등급)	원문등록여부	문서형식
132356	2362	김형준	교신저자	전임		문술미래전략대학원	SCIENCE ADVANCES	Anthropogenic warming induced intensification of summer monsoon frontal precipitation over East Asia	미국	2375-2548	2023	11	9	47	검증완료	국제전문학술지(SCI급)	SCIE	eadh4195			1			2-s2.0-85177747306	0.00		"Summer monsoon frontal rainfall in East Asia (EA) is crucial for water resources and flood hazards in densely populated areas. Recent studies have documented the increasing intensity of summer frontal rainfall over recent decades. However, the extent of ongoing climate change on the intensification of the EA frontal precipitation system remains uncertain. Using an objective method for detecting frontal systems, we found a 17 ± 3% increase in observed frontal rainfall intensity during 1958 to 2015. Climate model simulations with and without greenhouse gases suggest that anthropogenic warming plays a key role in the intensification of EA summer frontal precipitation by 5.8% from 1991 to 2015. The analysis highlights that enhanced water vapor convergence and reinforced western North Pacific subtropical High collectively increased moisture transport to the region, resulting in intensified EA frontal precipitation. The results lend support to the anthropogenic warming-induced enhancement of the EA frontal precipitation and its persistence in the future."	https://doi.org/10.1126/sciadv.adh4195	2023-12-08	2024-01-02	"Moon, S"	"Moon, S[Moon, Suyeon]; Utsumi, N[Utsumi, Nobuyuki]; Jeong, JH[Jeong, Jee-Hoon]; Yoon, JH[Yoon, Jin-Ho]; Wang, SYS[Wang, S-Y Simon]; Shiogama, H[Shiogama, Hideo]; Kim, H[Kim, Hyungjun]"	7	KAIST	13.6	4.598	5.00	N	Article
131214	2362	김형준	공동저자	전임		문술미래전략대학원	ENVIRONMENTAL RESEARCH COMMUNICATIONS	Calibrating global hydrological models with GRACE TWS: does river storage matter?	영국	2515-7620	2023	08	5	8	검증완료	국제전문학술지(SCI급)	SCIE			1	1		001060762200001	2-s2.0-85170083996	0.91		"Although river water storage contributes to Total Terrestrial Water Storage (TWS) variations obtained from GRACE satellite gravimetry, it is unclear if computationally expensive river routing schemes are required when GRACE data is used for calibration and validation in global hydrological modeling studies. Here, we investigate the role of river water storage on calibration and validation of a parsimonious global hydrological model. In a multi-criteria calibration approach, the model is constrained against either GRACE TWS or TWS from which river water storage is removed. While we find that removing river water storage changes the TWS constraint regionally and globally, there are no significant implications for model calibration and the resulting simulations. However, adding modeled river water storage a-posteriori to calibrated TWS simulations improves model validation against seasonal GRACE TWS variations globally and regionally, especially in tropics and Northern low- and wetlands. While our findings justify the exclusion of explicit river routing for global model calibration, we find that the inclusion of river water storage is relevant for model evaluation."	https://doi.org/10.1088/2515-7620/acece5	2023-10-04	2023-10-04	"Trautmann, T"	"Trautmann, T[Trautmann, Tina]; Koirala, S[Koirala, Sujan]; Guentner, A[Guentner, Andreas]; Kim, H[Kim, Hyungjun]; Jung, M[Jung, Martin]"	5	KAIST	2.9	0.894	3.00	N	Article
130310	2362	김형준	공동저자	전임		문술미래전략대학원	NATURE REVIEWS EARTH & ENVIRONMENT	Irrigation in the Earth system	영국	2662-138X	2023	07	4	7	검증완료	국제전문학술지(SCI급)	SCIE	435	453	11	15		001011688600001	2-s2.0-85162201744	4.58		"Irrigation accounts for similar to 70% of global freshwater withdrawals and similar to 90% of consumptive water use, driving myriad Earth system impacts. In this Review, we summarize how irrigation currently impacts key components of the Earth system. Estimates suggest that more than 3.6 million km(2) of currently irrigated land, with hot spots in the intensively cultivated US High Plains, California Central Valley, Indo-Gangetic Basin and northern China. Process-based models estimate that similar to 2,700 +/- 540 km(3) irrigation water is withdrawn globally each year, broadly consistent with country-reported values despite these estimates embedding substantial uncertainties. Expansive irrigation has modified surface energy balance and biogeochemical cycling. A shift from sensible to latent heat fluxes, and resulting land-atmosphere feedbacks, generally reduce regional growing season surface temperatures by similar to 1-3 degrees C. Irrigation can ameliorate temperature extremes in some regions, but conversely exacerbates moist heat stress. Modelled precipitation responses are more varied, with some intensive cropping regions exhibiting suppressed local precipitation but enhanced precipitation downstream owing to atmospheric circulation interactions. Additionally, irrigation could enhance cropland carbon uptake; however, it can also contribute to elevated methane fluxes in rice systems and mobilize nitrogen loading to groundwater. Cross-disciplinary, integrative research efforts can help advance understanding of these irrigation-Earth system interactions, and identify and reduce uncertainties, biases and limitations."	https://doi.org/10.1038/s43017-023-00438-5	2023-07-31	2023-08-04	"McDermid, S"	"McDermid, S[McDermid, Sonali]; Nocco, M[Nocco, Mallika]; Lawston-Parker, P[Lawston-Parker, Patricia]; Keune, J[Keune, Jessica]; Pokhrel, Y[Pokhrel, Yadu]; Jain, M[Jain, Meha]; Jagermeyr, J[Jaegermeyr, Jonas]; Brocca, L[Brocca, Luca]; Massari, C[Massari, Christian]; Jones, AD[Jones, Andrew D.]; Vahmani, P[Vahmani, Pouya]; Thiery, W[Thiery, Wim]; Yao, Y[Yao, Yi]; Bell, A[Bell, Andrew]; Chen, L[Chen, Liang]; Dorigo, W[Dorigo, Wouter]; Hanasaki, N[Hanasaki, Naota]; Jasechko, S[Jasechko, Scott]; Lo, MH[Lo, Min-Hui]; Mahmood, R[Mahmood, Rezaul]; Mishra, V[Mishra, Vimal]; Mueller, ND[Mueller, Nathaniel D.]; Niyogi, D[Niyogi, Dev]; Rabin, SS[Rabin, Sam S.]; Sloat, L[Sloat, Lindsey]; Wada, Y[Wada, Yoshihide]; Zappa, L[Zappa, Luca]; Chen, F[Chen, Fei]; Cook, BI[Cook, Benjamin I.]; Kim, H[Kim, Hyungjun]; Lombardozzi, D[Lombardozzi, Danica]; Polcher, J[Polcher, Jan]; Ryu, D[Ryu, Dongryeol]; Santanello, J[Santanello, Joe]; Satoh, Y[Satoh, Yusuke]; Seneviratne, S[Seneviratne, Sonia]; Singh, D[Singh, Deepti]; Yokohata, T[Yokohata, Tokuta]"	38	KAIST	42.1	6.193	5.00	N	Review
129210	2362	김형준	교신저자	전임		문술미래전략대학원	GEOPHYSICAL RESEARCH LETTERS	Multi-Task Learning for Simultaneous Retrievals of Passive Microwave Precipitation Estimates and Rain/No-Rain Classification	미국	0094-8276	2023	04	50	7	검증완료	국제전문학술지(SCI급)	SCIE			2	1		000973417900001	2-s2.0-85153358816	0.96		"Satellite-based precipitation estimations provide frequent, large-scale measurements. Deep learning has recently shown significant potential for improving estimation accuracy. Most studies have employed a two-stage framework, which is a sequential architecture of a rain/no-rain binary classification task followed by a rain rate regression task. This study proposes a novel precipitation retrieval framework in which these two tasks are simultaneously trained using multi-task learning approach (MTL). Furthermore, a novel network architecture and loss function were designed to reap the benefits of MTL. The proposed two-task model successfully achieved a better performance than the conventional single-task model possibly due to efficient knowledge transfer between tasks. Furthermore, the product intercomparison showed that our product outperformed existing products in rain rate retrieval and also yielded better skills in the rain/no-rain retrieval task."	https://doi.org/10.1029/2022GL102283	2023-05-12	2023-05-13	"Bannai, T"	"Bannai, T[Bannai, Takumi]; Xu, HY[Xu, Haoyang]; Utsumi, N[Utsumi, Nobuyuki]; Koo, E[Koo, Eunho]; Lu, K[Lu, Keming]; Kim, H[Kim, Hyungjun]"	6	KAIST	5.2	1.837	5.00	N	Article
128972	2362	김형준	공동저자	전임		문술미래전략대학원	NPJ CLIMATE AND ATMOSPHERIC SCIENCE	Arctic-associated increased fluctuations of midlatitude winter temperature in the 1.5 degrees and 2.0 degrees warmer world	독일	2397-3722	2023	03	6	1	검증완료	국제전문학술지(SCI급)	SCIE			1	1		000957813600001	2-s2.0-85151153644	0.65		"In recent decades, the interior regions of Eurasia and North America have experienced several unprecedentedly cold winters despite the global surface air temperature increases. One possible explanation of these increasing extreme cold winters comes from the so-called Warm Arctic Cold Continent (WACC) pattern, reflecting the effects of the amplified Arctic warming in driving the circulation change over surrounding continents. This study analyzed reanalysis data and model experiments forced by different levels of anthropogenic forcing. It is found that WACC exists on synoptic scales in observations, model's historical and even future runs. In the future, the analysis suggests a continued presence of WACC but with a slightly weakened cold extreme due to the overall warming. Warm Arctic events under the warmer climate will be associated with not only a colder continent in East Asia but also a warmer continent, depending on the teleconnection process that is also complicated by the warmer Arctic. Such an increasingly association suggests a reduction in potential predictability of the midlatitude winter anomalies."	https://doi.org/10.1038/s41612-023-00345-y	2023-04-24	2023-04-24	"Hong, Y"	"Hong, Y[Hong, Yungi]; Wang, SYS[Wang, S. -Y. Simon]; Son, SW[Son, Seok-Woo]; Jeong, JH[Jeong, Jee-Hoon]; Kim, SW[Kim, Sang-Woo]; Kim, B[Kim, Baekmin]; Kim, H[Kim, Hyungjun]; Yoon, JH[Yoon, Jin-Ho]"	8	KAIST	9.0	2.87	5.00	N	Article
126554	2362	김형준	공동저자	전임		문술미래전략대학원	JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	Deep Learning Provides Substantial Improvements to County-Level Fire Weather Forecasting Over the Western United States	미국	1942-2466	2022	10	14	10	검증완료	국제전문학술지(SCI급)	SCIE			1	2		000868680200001	2-s2.0-85141680343	0.33		"The recent wildfires in the western United States during 2018 and 2020 caused record-breaking fire damage and casualties. Despite remarkable advances in fire modeling and weather forecasting, it remains challenging to anticipate catastrophic wildfire events and associated damage. One key missing component is a fire weather prediction system with sufficiently long lead time capable of providing useful regional details. Here, we develop a hybrid prediction model of wildfire danger called CFS with super resolution (CFS-SR) as a proof of concept to fill that void. The CFS-SR model is constructed by integrating the Climate Forecast System version 2 with a deep learning (DL) technique from Single Image Super Resolution, a method widely used in enhancing image resolution. We show that for the 2018-2019 fire season, the CFS-SR model significantly improves accuracy in forecasting fire weather at lead times of up to 7 days with an enhanced spatial resolution up to 4 km. This level of high resolution provides county-level fire weather forecast, making it more practical for allocating resources to mitigate wildfire danger. Our study demonstrates that a proper combination of ensemble climate predictions with DL techniques can boost predictability at finer spatial scales, increasing the utility of fire weather forecasts for practical applications."	https://doi.org/10.1029/2022MS002995	2022-11-01	2023-03-14	"Son, R"	"Son, R[Son, Rackhun]; Ma, PL[Ma, Po-Lun]; Wang, HL[Wang, Hailong]; Rasch, PJ[Rasch, Philp J.]; Wang, SY[Wang, Shih-Yu (Simon)]; Kim, H[Kim, Hyungjun]; Jeong, JH[Jeong, Jee-Hoon]; Lim, KSS[Lim, Kyo-Sun Sunny]; Yoon, JH[Yoon, Jin-Ho]"	9	KAIST	6.8	3.605	5.00	Y	Article
123807	2362	김형준	제1저자	전임		문술미래전략대학원	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	GLOBAL CLIMATE	미국	0003-0007	2022	08	103	8	검증완료	국제전문학술지(SCI급)	SCIE	S20	S142	10			000886646800003		1.06			https://doi.org/10.1175/BAMS-D-22-0092.1	2022-03-10	2024-01-02	"Dunn, RJH"	"Dunn, RJH[Dunn, R. J. H.]; Aldred, F[Aldred, F.]; Gobron, N[Gobron, N.]; Miller, JB[Miller, J. B.]; Willett, KM[Willett, K. M.]; Ades, M[Ades, Melanie]; Adler, R[Adler, Robert]; Allan, RP[Allan, R. P.]; Anderson, J[Anderson, John]; Anneville, O[Anneville, Orlane]; Aono, Y[Aono, Yasuyuki]; Argüez, A[Arguez, Anthony]; Arosio, C[Arosio, Carlo]; Augustine, JA[Augustine, John A.]; Azorin-Molina, C[Azorin-Molina, Cesar]; Barichivich, J[Barichivich, Jonathan]; Basu, A[Basu, Aman]; Beck, HE[Beck, Hylke E.]; Bellouin, N[Bellouin, Nicolas]; Benedetti, A[Benedetti, Angela]; Blagrave, K[Blagrave, Kevin]; Blenkinsop, S[Blenkinsop, Stephen]; Bock, O[Bock, Olivier]; Bodin, X[Bodin, Xavier]; Bosilovich, MG[Bosilovich, Michael G.]; Boucher, O[Boucher, Olivier]; Bove, G[Bove, Gerald]; Buechler, D[Buechler, Dennis]; Buehler, SA[Buehler, Stefan A.]; Carrea, L[Carrea, Laura]; Chang, KL[Chang, Kai-Lan]; Christiansen, HH[Christiansen, Hanne H.]; Christy, JR[Christy, John R.]; Chung, ES[Chung, Eui-Seok]; Ciasto, LM[Ciasto, Laura M.]; Coldewey-Egbers, M[Coldewey-Egbers, Melanie]; Cooper, OR[Cooper, Owen R.]; Cornes, RC[Cornes, Richard C.]; Covey, C[Covey, Curt]; Cropper, T[Cropper, Thomas]; Crotwell, M[Crotwell, Molly]; Cusicanqui, D[Cusicanqui, Diego]; Davis, SM[Davis, Sean M.]; de Jeu, RAM[de Jeu, Richard A. M.]; Degenstein, D[Degenstein, Doug]; Delaloye, R[Delaloye, Reynald]; Donat, MG[Donat, Markus G.]; Dorigo, WA[Dorigo, Wouter A.]; Durre, I[Durre, Imke]; Dutton, GS[Dutton, Geoff S.]; Duveiller, G[Duveiller, Gregory]; Elkins, JW[Elkins, James W.]; Estilow, TW[Estilow, Thomas W.]; Fedaeff, N[Fedaeff, Nava]; Fereday, D[Fereday, David]; Fioletov, VE[Fioletov, Vitali E.]; Flemming, J[Flemming, Johannes]; Foster, MJ[Foster, Michael J.]; Frith, SM[Frith, Stacey M.]; Froidevaux, L[Froidevaux, Lucien]; Füllekrug, M[Fullekrug, Martin]; Garforth, J[Garforth, Judith]; Garg, J[Garg, Jay]; Gentry, M[Gentry, Matthew]; Goodman, S[Goodman, Steven]; Gou, QQ[Gou, Qiqi]; Granin, N[Granin, Nikolay]; Guglielmin, M[Guglielmin, Mauro]; Hahn, S[Hahn, Sebastian]; Haimberger, L[Haimberger, Leopold]; Hall, BD[Hall, Brad D.]; Harris, I[Harris, Ian]; Hemming, DL[Hemming, Debbie L.]; Hirschi, M[Hirschi, Martin]; Ho, SP[Ho, Shu-pen (Ben)]; Holzworth, R[Holzworth, Robert]; Hrbácek, F[Hrbacek, Filip]; Hubert, D[Hubert, Daan]; Hulsman, P[Hulsman, Petra]; Hurst, DF[Hurst, Dale F.]; Inness, A[Inness, Antje]; Isaksen, K[Isaksen, Ketil]; John, VO[John, Viju O.]; Jones, PD[Jones, Philip D.]; Junod, R[Junod, Robert]; Kääb, A[Kaab, Andreas]; Kaiser, JW[Kaiser, Johannes W.]; Kaufmann, V[Kaufmann, Viktor]; Kellerer-Pirklbauer, A[Kellerer-Pirklbauer, Andreas]; Kent, EC[Kent, Elizabeth C.]; Kidd, R[Kidd, Richard]; Kim, H[Kim, Hyungjun]; Kipling, Z[Kipling, Zak]; Koppa, A[Koppa, Akash]; L'Abée-Lund, JH[L'Abee-Lund, Jan Henning]; Lan, X[Lan, Xin]; Lantz, KO[Lantz, Kathleen O.]; Lavers, D[Lavers, David]; Loeb, NG[Loeb, Norman G.]; Loyola, D[Loyola, Diego]; Madelon, R[Madelon, Remi]; Malmquist, HJ[Malmquist, Hilmar J.]; Marszelewski, W[Marszelewski, Wlodzimierz]; Mayer, M[Mayer, Michael]; McCabe, MF[McCabe, Matthew F.]; McVicar, TR[McVicar, Tim R.]; Mears, CA[Mears, Carl A.]; Menzel, A[Menzel, Annette]; Merchant, CJ[Merchant, Christopher J.]; Miralles, DG[Miralles, Diego G.]; Montzka, SA[Montzka, Stephen A.]; Morice, C[Morice, Colin]; Mösinger, L[Mosinger, Leander]; Mühle, J[Muhle, Jens]; Nicolas, JP[Nicolas, Julien P.]; Noetzli, J[Noetzli, Jeannette]; Noges, T[Noges, Tiina]; Noll, B[Noll, Ben]; O'Keefe, J[O'Keefe, John]; Osborn, TJ[Osborn, Tim J.]; Park, T[Park, Taejin]; Pellet, C[Pellet, Cecile]; Pelto, MS[Pelto, Maury S.]; Perkins-Kirkpatrick, SE[Perkins-Kirkpatrick, Sarah E.]; Phillips, C[Phillips, Coda]; Po-Chedley, S[Po-Chedley, Stephen]; Polvani, L[Polvani, Lorenzo]; Preimesberger, W[Preimesberger, Wolfgang]; Price, C[Price, Colin]; Pulkkanen, M[Pulkkanen, Merja]; Rains, DG[Rains, Dominik G.]; Randel, WJ[Randel, William J.]; Rémy, S[Remy, Samuel]; Ricciardulli, L[Ricciardulli, Lucrezia]; Richardson, AD[Richardson, Andrew D.]; Robinson, DA[Robinson, David A.]; Rodell, M[Rodell, Matthew]; Rodríguez-Fernández, NJ[Rodriguez-Fernandez, Nemesio J.]; Rosenlof, KH[Rosenlof, Karen H.]; Roth, C[Roth, Chris]; Rozanov, A[Rozanov, Alexei]; Rutishäuser, T[Rutishauser, This]; Sánchez-Lugo, A[Sanchez-Lugo, Ahira]; Sawaengphokhai, P[Sawaengphokhai, Parnchai]; Schenzinger, V[Schenzinger, Verena]; Schlegel, RW[Schlegel, Robert W.]; Schneider, U[Schneider, Udo]; Sharma, S[Sharma, Sapna]; Shi, L[Shi, Lei]; Simmons, AJ[Simmons, Adrian J.]; Siso, C[Siso, Carolina]; Smith, SL[Smith, Sharon L.]; Soden, BJ[Soden, Brian J.]; Sofieva, V[Sofieva, Viktoria]; Sparks, TH[Sparks, Tim H.]; Stackhouse, PW[Stackhouse, Paul W., Jr.]; Stauffer, R[Stauffer, Ryan]; Steinbrecht, W[Steinbrecht, Wolfgang]; Steiner, AK[Steiner, Andrea K.]; Stewart, K[Stewart, Kenton]; Stradiotti, P[Stradiotti, Pietro]; Streletskiy, DA[Streletskiy, Dimitri A.]; Telg, H[Telg, Hagen]; Thackeray, SJ[Thackeray, Stephen J.]; Thibert, E[Thibert, Emmanuel]; Todt, M[Todt, Michael]; Tokuda, D[Tokuda, Daisuke]; Tourpali, K[Tourpali, Kleareti]; Tye, MR[Tye, Mari R.]; Ronald, V[Ronald, van der A.]; van der Schalie, R[van der Schalie, Robin]; van der Schrier, G[van der Schrier, Gerard]; van der Vliet, M[van der Vliet, Mendy]; van der Werf, GR[van der Werf, Guido R.]; van Vliet, A[van Vliet, Arnold.]; Vernier, JP[Vernier, Jean-Paul]; Vimont, IJ[Vimont, Isaac J.]; Virts, K[Virts, Katrina]; Vivero, S[Vivero, Sebastian]; Vömel, H[Vomel, Holger]; Vose, RS[Vose, Russell S.]; Wang, RHJ[Wang, Ray H. J.]; Weber, M[Weber, Markus]; Wiese, D[Wiese, David]; Wild, JD[Wild, Jeanette D.]; Williams, E[Williams, Earle]; Wong, T[Wong, Takmeng]; Woolway, RI[Woolway, R. I.]; Yin, XG[Yin, Xungang]; Yuan, Y[Yuan, Ye]; Zhao, L[Zhao, Lin]; Zhou, XJ[Zhou, Xinjia]; Ziemke, JR[Ziemke, Jerry R.]; Ziese, M[Ziese, Markus]; Zotta, RM[Zotta, Ruxandra M.]; Allen, J[Allen, Jessicca]; Camper, A[Camper, Amy]; Hammer, G[Hammer, Gregory]; Love-Brotak, SE[Love-Brotak, S. Elizabeth]; Misch, DJ[Misch, Deborah J.]; Ohlmann, L[Ohlmann, Laura]; Riddle, DB[Riddle, Deborah B.]; Veasey, SW[Veasey, Sara W.]"	203	KAIST	8.0	2.418	5.00	N	Article
125958	2362	김형준	공동저자	전임		문술미래전략대학원	EARTH SYSTEM DYNAMICS	The ExtremeX global climate model experiment: investigating thermodynamic and dynamic processes contributing to weather and climate extremes	독일	2190-4979	2022	08	13	3	검증완료	국제전문학술지(SCI급)	SCIE	1167	1196	4	5		000844113900001	2-s2.0-85137843320	0.83		"The mechanisms leading to the occurrence of extreme weather and climate events are varied and complex. They generally encompass a combination of dynamic and thermodynamic processes, as well as drivers external to the climate system, such as anthropogenic greenhouse gas emissions and land use change. Here we present the ExtremeX multi-model intercomparison experiment, which was designed to investigate the contribution of dynamic and thermodynamic processes to recent weather and climate extremes. The numerical experiments are performed with three Earth system models: CESM, MIROC, and EC-Earth. They include control experiments with interactive atmosphere and land surface conditions, as well as experiments wherein the atmospheric circulation, soil moisture, or both are constrained using observation-based data. The temporal evolution and magnitude of temperature anomalies during heatwaves are well represented in the experiments with a constrained atmosphere. However, the magnitude of mean climatological biases in temperature and precipitation are not greatly reduced in any of the constrained experiments due to persistent or newly introduced biases. This highlights the importance of error compensations and tuning in the standard model versions. To show one possible application, ExtremeX is used to identify the main drivers of heatwaves and warm spells. The results reveal that both atmospheric circulation patterns and soil moisture conditions substantially contribute to the occurrence of these events. Soil moisture effects are particularly important in the tropics, the monsoon areas, and the Great Plains of the United States, whereas atmospheric circulation effects are major drivers in other midlatitude and high-latitude regions."	https://doi.org/10.5194/esd-13-1167-2022	2022-09-06	2023-03-14	"Wehrli, K"	"Wehrli, K[Wehrli, Kathrin]; Luo, F[Luo, Fei]; Hauser, M[Hauser, Mathias]; Shiogama, H[Shiogama, Hideo]; Tokuda, D[Tokuda, Daisuke]; Kim, H[Kim, Hyungjun]; Coumou, D[Coumou, Dim]; May, W[May, Wilhelm]; Le Sager, P[Le Sager, Philippe]; Selten, F[Selten, Frank]; Martius, O[Martius, Olivia]; Vautard, R[Vautard, Robert]; Seneviratne, SI[Seneviratne, Sonia, I]"	13	KAIST	7.3	2.298	5.00	Y	Article
127496	2362	김형준	공동저자	전임		문술미래전략대학원	Weather and Climate Dynamics	Summertime Rossby waves in climate models: Substantial biases in surface imprint associated with small biases in upper-level circulation	독일	2698-4016	2022	08	3	3	검증완료	국제전문학술지(SCI급)	SCOPUS	905	935		5			2-s2.0-85136922060	1.06		"In boreal summer, circumglobal Rossby waves can promote stagnating weather systems that favor extreme events like heat waves or droughts. Recent work showed that amplified Rossby wavenumber 5 and 7 show phase-locking behavior which can trigger simultaneous warm anomalies in different breadbasket regions in the Northern Hemisphere. These types of wave patterns thus pose a potential threat to human health and ecosystems. The representation of such persistent wave events in summer and their surface anomalies in general circulation models (GCMs) has not been systematically analyzed. Here we validate the representation of wavenumbers 1-10 in three state-of-The-Art global climate models (EC-Earth, CESM, and MIROC), quantify their biases, and provide insights into the underlying physical reasons for the biases. To do so, the ExtremeX experiments output data were used, consisting of (1) historic simulations with a freely running atmosphere with prescribed ocean and experiments that additionally (2) nudge towards the observed upper-level horizontal winds, (3) prescribe soil moisture conditions, or (4) do both. The experiments are used to trace the sources of the model biases to either the large-scale atmospheric circulation or surface feedback processes. Focusing on wave 5 and wave 7, we show that while the wave's position and magnitude are generally well represented during high-Amplitude (>g 1.5 SD) episodes, the associated surface anomalies are substantially underestimated. Near-surface temperature, precipitation and mean sea level pressure are typically underestimated by a factor of 1.5 in terms of normalized standard deviations. The correlations and normalized standard deviations for surface anomalies do not improve if the soil moisture is prescribed. However, the surface biases are almost entirely removed when the upper-level atmospheric circulation is nudged. When both prescribing soil moisture and nudging the upper-level atmosphere, then the surface biases remain quite similar to the experiment with a nudged atmosphere only. We conclude that the near-surface biases in temperature and precipitation are in the first place related to biases in the upper-level circulation. Thus, relatively small biases in the models' representation of the upper-level waves can strongly affect associated temperature and precipitation anomalies. © 2022 Authors"	https://doi.org/10.5194/wcd-3-905-2022	2022-12-23	2022-12-23	"Luo, F"	"Luo, F[Luo, Fei]; Selten, F[Selten, Frank]; Wehrli, K[Wehrli, Kathrin]; Kornhuber, K[Kornhuber, Kai]; Le, Sager P[Le Sager, Philippe]; May, W[May, Wilhelm]; Reerink, T[Reerink, Thomas]; Seneviratne, SI[Seneviratne, Sonia I.]; Shiogama, H[Shiogama, Hideo]; Tokuda, D[Tokuda, Daisuke]; Kim, H[Kim, Hyungjun]; Coumou, D[Coumou, Dim]"	12	KAIST		1.515		Y	Article
125362	2362	김형준	공동저자	전임		문술미래전략대학원	NATURE COMMUNICATIONS	The timing of unprecedented hydrological drought under climate change	독일	2041-1723	2022	06	13	1	검증완료	국제전문학술지(SCI급)	SCIE			64	71		000820251300034	2-s2.0-85132971253	10.06		"Significant regional disparities exist in the time left to prepare for unprecedented drought and how much we can buy time depending on climate scenarios. Specific regions pass this timing by the middle of 21st century even with stringent mitigation. Droughts that exceed the magnitudes of historical variation ranges could occur increasingly frequently under future climate conditions. However, the time of the emergence of unprecedented drought conditions under climate change has rarely been examined. Here, using multimodel hydrological simulations, we investigate the changes in the frequency of hydrological drought (defined as abnormally low river discharge) under high and low greenhouse gas concentration scenarios and existing water resource management measures and estimate the time of the first emergence of unprecedented regional drought conditions centered on the low-flow season. The times are detected for several subcontinental-scale regions, and three regions, namely, Southwestern South America, Mediterranean Europe, and Northern Africa, exhibit particularly robust results under the high-emission scenario. These three regions are expected to confront unprecedented conditions within the next 30 years with a high likelihood regardless of the emission scenarios. In addition, the results obtained herein demonstrate the benefits of the lower-emission pathway in reducing the likelihood of emergence. The Paris Agreement goals are shown to be effective in reducing the likelihood to the unlikely level in most regions. However, appropriate and prior adaptation measures are considered indispensable when facing unprecedented drought conditions. The results of this study underscore the importance of improving drought preparedness within the considered time horizons."	https://doi.org/10.1038/s41467-022-30729-2	2022-07-19	2022-07-19	"Satoh, Y"	"Satoh, Y[Satoh, Yusuke]; Yoshimura, K[Yoshimura, Kei]; Pokhrel, Y[Pokhrel, Yadu]; Kim, H[Kim, Hyungjun]; Shiogama, H[Shiogama, Hideo]; Yokohata, T[Yokohata, Tokuta]; Hanasaki, N[Hanasaki, Naota]; Wada, Y[Wada, Yoshihide]; Burek, P[Burek, Peter]; Byers, E[Byers, Edward]; Schmied, HM[Schmied, Hannes Mueller]; Gerten, D[Gerten, Dieter]; Ostberg, S[Ostberg, Sebastian]; Gosling, SN[Gosling, Simon Newland]; Boulange, JES[Boulange, Julien Eric Stanslas]; Oki, T[Oki, Taikan]"	16	KAIST	16.6	5.116	5.00	Y	Article
