Number,Name,Path,Title,Title Image,Tags,Time,Location,URL
66,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2739bb83ec3b804a9590fadcff5ff91d.md,[Workshop] KAIST-IST Joint Workshop,Web%201de9bb83ec3b80b6a257e12869803932/oo1.png,,2025년 9월 3일 → 2025년 9월 4일,"KAIST, N5",
68,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2739bb83ec3b8098bf29eb1fdeb172be.md,[Workshop] KAIST Green Growth & Sustationability Workshop,Web%201de9bb83ec3b80b6a257e12869803932/oo2.png,,2025년 8월 22일,"KAIST, N1",
69,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2739bb83ec3b808e871cd79b614cd3ae.md,[Workshop] 2025 KAIST-GIST-SU Joint WorkShop in Jeonju,Web%201de9bb83ec3b80b6a257e12869803932/oo1_1.png,,2025년 8월 20일 → 2025년 8월 22일,Jeonju,
67,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2739bb83ec3b80ca9edfc42c73cce755.md,[Broadcast] KBS News | 폭염에서 폭우로…남해안·지리산 부근 최대 250mm,Web%201de9bb83ec3b80b6a257e12869803932/Broadcast_KBS_News_oooo_ooooooooo_oo_oo_250mm.png,,2025년 8월 3일,Online,https://news.kbs.co.kr/news/mobile/view/view.do?ncd=8320380
72,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2769bb83ec3b80d5934ff67ceaa1ff6c.md,[Broadcast] KBS News | ‘극한 폭우’에서 ‘극한 폭염’으로…‘더블 펀치’ 강해졌다,Web%201de9bb83ec3b80b6a257e12869803932/Broadcast_KBS_News_oo_oooo_oo_oooooo_oo_oooo.png,,2025년 7월 29일,Online,https://youtu.be/YD6kaH8pJec?si=qUZRqVsZp1WsVL5-
70,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2769bb83ec3b80179fa7dcab347a14f9.md,[Article] 한겨레 연재 | 김형준의 메타어스,Web%201de9bb83ec3b80b6a257e12869803932/oo1_2.png,,2025년 7월 27일,Online,https://www.hani.co.kr/arti/SERIES/3090
74,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2769bb83ec3b8008a4a6e92df1582e22.md,[Article] slownews | “폭우-가뭄 ‘스윙’ 커진다. 국내판 손실피해기금 만들자”,Web%201de9bb83ec3b80b6a257e12869803932/20250724_Article_oo-oo_oo_ooo._ooo_oooooo_ooo.png,,2025년 7월 24일,Online,https://slownews.kr/141990
71,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2769bb83ec3b805ea63ad314a5ffaf4d.md,[Seminar] Countering Climate Disinformation : Lessons from Other Misinformation Context,Web%201de9bb83ec3b80b6a257e12869803932/20250708_Seminar_Countering_Climate_Disinformation_Lessons_from_Other_Misinformation_Context.png,,2025년 7월 8일,"KAIST, N4",
73,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2769bb83ec3b803fae43e10542e1d560.md,"[Broadcast] KBS 대전 |  [과학으로 보는 세상 SEE] - ""기후 재앙"" 얼음 없는 북극",Web%201de9bb83ec3b80b6a257e12869803932/oo1_3.png,,2025년 5월 28일,Online,https://youtu.be/DDlihZvi-kQ?si=9wy2vPbQr2uwuKSU
65,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2429bb83ec3b8078bc2cdbb3d588eb09.md,[Conference] ME lab in 2025 KWRA,Web%201de9bb83ec3b80b6a257e12869803932/2025ooooo.png,,2025년 5월 21일 → 2025년 5월 23일,Yeosu,
64,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_2429bb83ec3b80bc9be0fb5857b9d2ca.md,[Award] Tam & Gidon win Outstanding Paper award at 2025 KWRA! 🏅,Web%201de9bb83ec3b80b6a257e12869803932/2025ooooo_oo.png,,2025년 5월 21일 → 2025년 5월 23일,Yeosu,
56,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1cf9bb83ec3b80089952e593fb239e6f.md,[ME Lab Life] Happy Teacher’s Day ! 💐🍰,Web%201de9bb83ec3b80b6a257e12869803932/oo_11.png,,2025년 5월 14일,"N5, KAIST",
61,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1f49bb83ec3b8040a9cbe53b9c1650f3.md,[Conference] 2025 Spring KMS meeting,Web%201de9bb83ec3b80b6a257e12869803932/250512-13_2025_oooo_o.png,,2025년 5월 12일 → 2025년 5월 13일,Seoul,
62,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1f49bb83ec3b8085b0cdd2c302851414.md,[Seminar] Ultra-high spatiotemporal resolution reconstruction of the climate around Japan with large ensemble of climate simulations and old documents: Toward weather-scale reconstruction by Prof.Atsushi Okazaki,Web%201de9bb83ec3b80b6a257e12869803932/250501_Prof._Okazaki.png,,2025년 5월 1일,"N5, KAIST",
60,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1f49bb83ec3b80cdbcf3d13af8e3cfb5.md,[Conference] ME lab in 2025 EGU,Web%201de9bb83ec3b80b6a257e12869803932/250427_2025_EGU.png,,2025년 4월 27일 → 2025년 5월 2일,"Vienna, Austria",
57,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1d19bb83ec3b80319f8fcf084e4c0f41.md,[Seminar] Global forest carbon leakage and substitution effect potentials : The case of the Swedish forest sector by Dr. Nicklas Forsell,Web%201de9bb83ec3b80b6a257e12869803932/0410_Dr.NicklasForsell_Global_forest_carbon_leakage_and_substitution_effect_potentials_The_case_of_the_Swedish_forest_sector.png,,2025년 4월 10일,"N5, KAIST",
49,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1cf9bb83ec3b805d97e8dfe4ab6a478f.md,[ME Lab Life] 2025 Spring Cherry Blossom Picnic 🌸,Web%201de9bb83ec3b80b6a257e12869803932/ooo_oo.png,,2025년 4월 8일,KAIST,
